exercise,equipment,difficulty,link,img_link,video_link,step
Pull Ups,Bodyweight,Intermediate,https://musclewiki.com/Bodyweight/Male/Lats/Pull-Ups,https://www.musclewiki.com/media/uploads/bodyweight-male-pullup-front.gif,https://youtu.be/oBEJsuQIcD0,"1. Grasp the bar with an overhand grip, arms and shoulders fully extended.
2. Pull your body up until your chin is above the bar.
3. Lower your body back to starting position."
Dumbbell Row Bilateral,Dumbbells,Intermediate,https://musclewiki.com/Dumbbells/Male/Lats/Dumbbell-Row-Bilateral,https://www.musclewiki.com/media/uploads/male-dumbbell-bilateral-row-front.gif,https://youtu.be/dQDlg5-monc,"1. Grab both dumbbells and hinge forward at the hips. Make sure you keep a flat back.
2. The closer your torso is to parallel with the ground the longer the range of motion will be at your shoulder. The better the results you'll get from the exercise.
3. Let your arms hang freely, and then pull your elbow joint straight back toward the ceiling."
Bent Over Barbell Row,Barbell,Intermediate,https://musclewiki.com/Barbell/Male/Lats/Bent-Over-Barbell-Row,https://www.musclewiki.com/media/uploads/male-barbell-bent-over-row-front.gif,https://www.youtube.com/watch?v=GqDnbRoXnbY%7C,"1. Grab a barbell with a shoulder width pronated or supinated grip.
2. Bend forward at your hips while maintaining a flat back.
3. Pull the weight toward your upper abdomen.
4. Lower the weight in a controlled manner and repeat."
Shoulder Extension,Kettlebells,Intermediate,https://musclewiki.com/Kettlebells/Male/Lats/Shoulder-Extension,https://www.musclewiki.com/media/uploads/kettlebell-male-shoulderextension-front.gif,https://youtu.be/jtFC5E0GCdQ,"1. Stand with your feet shoulder width apart bending forward at the hips as far as comfortable. Place off-hand on the same side thigh for stability.
2. Hold the kettlebell in one hand, straight armed and pointing towards the floor.
3. Keeping your arm straight, swing the kettlebell behind you as far as comfortable.
4. Return to the starting position and repeat."
Kettlebell Pullover,Kettlebells,Advanced,https://musclewiki.com/Kettlebells/Male/Lats/Kettlebell-Pullover,https://www.musclewiki.com/media/uploads/kettlebell-male-pullover-front.gif,https://youtu.be/_q02WKDALQs,"1. Rest your upper back on the bench and place soles of your feet firmly on the floor keeping torso and thighs suspended and parallel to the floor.
2. Hold the kettlebell with both hands above your chest, keeping your arms straight.
3. Keeping your arms straight, move the kettlebell in the direction of your head until your arms are parallel to the floor.
4. Return to starting to position and repeat."
Lat Prayer,Cables,Advanced,https://musclewiki.com/Cables/Male/Lats/Lat-Prayer,https://www.musclewiki.com/media/uploads/cable-male-latprayer-front.gif,https://youtu.be/bbnLYUqsVyE,"1. You can use any attachment. Cable should be set all the way to the top of the machine.
2. Grab your attachment and walk a few steps back. Push your butt back to where you are leaning forward. Your ears should be between your arms.
3. Initiate the movement with your shoulders and not your elbows. As you flex at the shoulder joint push your hips forward until your hips meet the attachment."
Cable Pullover,Cables,Intermediate,https://musclewiki.com/Cables/Male/Lats/Cable-Pullover,https://www.musclewiki.com/media/uploads/cable-male-pullover-front.gif,https://youtu.be/jGd45jzMrmA,"1. You can use any attachment. Cable should be set all the way to the top of the machine.
2. Grab your attachment and walk a few steps back. Push your butt back to where you are leaning forward somewhat.
3. Initiate the movement with your shoulders and not your elbows. Imagine trying to pull the attachment through your thighs at the bottom."
Pull In,Cables,Intermediate,https://musclewiki.com/Cables/Male/Lats/Pull-In,https://www.musclewiki.com/media/uploads/cable-male-pullin-front.gif,https://youtu.be/a2-RTmqkXYI,"1. Use a handle attachment set all the way to the top of the cable crossover machine.
2. Walk a few steps away from the cable machine. Face your body sideways.
3. Face your palm up toward the ceiling. Then pull your elbow in toward your rib cage."
Pullover,Band,Intermediate,https://musclewiki.com/Band/Male/Lats/Pullover,https://www.musclewiki.com/media/uploads/band-male-pullover-side.gif,https://youtu.be/IVJ1yJELO1E,"1. Place the band just above our level. Take a few steps away until the band is taut.
2. Push your hips back slightly. Extend and flex at the shoulder joint."
