exercise,equipment,difficulty,link,img_link,video_link,step
Barbell Bench Press,Barbell,Intermediate,https://musclewiki.com/Barbell/Male/Chest/Barbell-Bench-Press,https://www.musclewiki.com/media/uploads/male-barbell-bench-press-front_C2G7O8r.gif,https://youtu.be/4uSFvPyZI7I,"1. Lay flat on the bench with your feet on the ground. With straight arms unrack the bar.
2. Lower the bar to your mid chest
3. Raise the bar until you've locked your elbows.
"
Dips,Bodyweight,Intermediate,https://musclewiki.com/Bodyweight/Male/Chest/Dips,https://www.musclewiki.com/media/uploads/bodyweight-male-dips-front_5pJM6Vh.gif,https://youtu.be/G4BqAiQ9mHs,"1. Hold your body with arms locked above the equipment
2. Lower your body slowly while leaning forward, flare out your elbows
3. Raise your body above the bars until your arms are locked.
"
Incline Barbell Bench Press,Barbell,Intermediate,https://musclewiki.com/Barbell/Male/Chest/Incline-Barbell-Bench-Press,https://www.musclewiki.com/media/uploads/male-barbell-incline-bench-press-front.gif,https://www.youtube.com/watch?v=YuL-RaRD4MU%7C,"1. Position the bench between 30 and 45 degrees.
2. Lay flat on the bench with your feet on the ground. With straight arms unrack the bar.
3. Lower the bar to your mid chest
4. Raise the bar (slowly and controlled) until you've locked your elbows.
"
Walkover Pushup,Kettlebells,Intermediate,https://musclewiki.com/Kettlebells/Male/Chest/Walkover-Pushup,https://www.musclewiki.com/media/uploads/kettlebell-male-walkover-pushup-front.gif,https://youtu.be/foV98ufteFM,"1. Starting in a press up position with feet wide and one hand resting on the kettlebell, complete a full press up, lowering your chest towards the ground while keeping your body straight and returning to the starting position.
2. Swap hands on the kettlebell, placing the hand originally on the kettlebell underneath your shoulder, complete another press up.
3. Repeat.
"
Floor Press,Barbell,Advanced,https://musclewiki.com/Barbell/Male/Chest/Floor-Press,https://www.musclewiki.com/media/uploads/male-barbell-floor-press-front_gKmljBI.gif,https://youtu.be/YRbGlyTFOA0,"1. Un-rack the bar and break at the elbows and shoulders.
2. Bring your elbows to the floor, rest for a second to remove all the momentum from the rep, then press to a lockout.
"
